"Timestamp","Q.1.Institution","Q.2.Role","Q.3.Discipline","Q.4.Fund","Q.5.Seniority","Q.6.Use.Software","Q.7.Importance.Software","Q.8.Developing.Software","Q.9.Training.Software","Q.10.Cost.Software","Q.11.Main.Software","E.1.Job.Title","E.2.Gender","E.3.Contract","E.4.OS","dataOrigin","Question.1..In.which.country.do.you.live.","X","X.1","Q.2.I conduct research","Q.2.I develop software for researchers","Q.2.I manage researchers or research projects","Q.2.I support researchers","Q.4.Fund.clean","Q.9.Training.Software.clean","Q.9.Training.Software.YN","E.1.Job.Title.clean","E.2.Gender.clean","E.4.OS.clean"
"8/21/2014 10:26:28","Cardiff University","I conduct research","Biological, mathematical & physical sciences","Don't know","6-10 years","Yes","My work would require more effort, but it would still be possible","No","No","Yes","GraphPad Prism, Serial Cloner, Mathematica","Postdoctoral Research Associate","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"Don't know","No","No",NA,"Female","Microsoft Windows"
"8/21/2014 10:35:31","Newcastle University","I conduct research, I support researchers, I manage researchers or research projects, design research","Engineering & technology","Don't know","6-10 years","Yes","My work would require more effort, but it would still be possible","No","Yes - self taught using online resources or books","No","MS Words; MS Excel; MS Power Point; MS Outlook; Google search engine; Adobe acrobat; SPSS; Mendeley;  ","Research Associate","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,1,1,"Don't know","Self-Taught","No",NA,"Male","Microsoft Windows"
"8/21/2014 10:35:52","University of Cambridge","I conduct research, I manage researchers or research projects, I develop software for researchers","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","No","No","LabView, Matlab, Origin, CryoMeas (my own software)","Professor","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,1,1,0,"EPSRC - Engineering and Physical Sciences Research Council","No","No","Professor","Male","Microsoft Windows"
"8/21/2014 10:42:05","Cardiff University","I conduct research, I develop software for researchers","Medicine, dentistry & health","Don't know","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","Yes","Illumina GenomeStudio
PLINK
R
IMPUTE2","Database Manager","Male","Fixed term","Don't have a preference","survey",NA,NA,NA,1,1,0,0,"Don't know","Self-taugh+Taught","Yes",NA,"Male",NA
"8/21/2014 10:42:19","University of Edinburgh","I conduct research","Humanities & language based studies & archaeology","University central funds","11-15 years","No","It would make no significant difference to my work","No","No","No","","Senior Lecturer","Male","Permanent","Mac OS X","survey",NA,NA,NA,1,0,0,0,"University central funds","No","No","Lecturer","Male","Mac OS X"
"8/21/2014 10:54:24",NA,"I conduct research","Biological, mathematical & physical sciences","Don't know","6-10 years","Yes","It would not be practical to conduct my work without software","No","No","No","R, Galaxy, Plink, Plink-Seq, IGV, Sam tools, GATK, Haploview","Research associate","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"Don't know","No","No",NA,"Female","Microsoft Windows"
"8/21/2014 10:56:48","Cardiff University","I conduct research","Social studies","ESRC - Economic and Social Research Council","6-10 years","Yes","My work would require more effort, but it would still be possible","No","No","No","Nvivo, SPSS","Research Associate","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"ESRC - Economic and Social Research Council","No","No",NA,"Male","Microsoft Windows"
"8/21/2014 10:57:38","Newcastle University","I conduct research","Social studies","ESRC - Economic and Social Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No","Stata, StatTransfer, sometimes SAS or R","Senior Lecturer in Economics","Male","Permanent","Mac OS X","survey",NA,NA,NA,1,0,0,0,"ESRC - Economic and Social Research Council","Self-Taught","No","Lecturer","Male","Mac OS X"
"8/21/2014 11:14:46","University of Cambridge","I conduct research","Biological, mathematical & physical sciences","Leverhulme Trust","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Mathematica, R

","Professor","Male","Permanent","Mac OS X","survey",NA,NA,NA,1,0,0,0,"Leverhulme Trust","Self-Taught","No","Professor","Male","Mac OS X"
"8/21/2014 13:25:15","UCL","I conduct research, I manage researchers or research projects, I develop software for researchers","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","No","Yes","DMACRYS, CrystalPredictor, CrystalOptimizer, GAUSSIAN, MOLPAK, GDMA, Cambridge Crystallographic Data Centre programs, CASTEP, CamCASP, GULP, Marvin","Professor","Female","Permanent","Linux","survey",NA,NA,NA,1,1,1,0,"EPSRC - Engineering and Physical Sciences Research Council","No","No","Professor","Female","Linux"
"8/21/2014 13:40:40","University of Edinburgh","I conduct research, I support researchers","Humanities & language based studies & archaeology","Don't know","More than 20 years","No","It would make no significant difference to my work","No","Yes - self taught using online resources or books","No","","Reader","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,0,1,"Don't know","Self-Taught","No","Reader","Male","Microsoft Windows"
"8/21/2014 13:48:35","Newcastle University","I conduct research, I manage researchers or research projects","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","No","Yes - a taught course, Yes - self taught using online resources or books","No","SPSS, R, LabView","Research Associate","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"EPSRC - Engineering and Physical Sciences Research Council","Self-taugh+Taught","Yes",NA,"Female","Microsoft Windows"
"8/21/2014 13:52:36","Look up my IP address from the logs if you really must know","I support researchers, I develop software for researchers","Medicine, dentistry & health","MRC - Medical Research Council","11-15 years","Yes","My work would require more effort, but it would still be possible","Yes","No","I'm not involved in bid writing","FSL, SPM, CamBA, Linux, MacOSX, bash, dcmtk, python, perl, nifti","Data Manager","Male","Fixed term","Mac OS X","survey",NA,NA,NA,0,1,0,1,"MRC - Medical Research Council","No","No",NA,"Male","Mac OS X"
"8/21/2014 14:02:03","UCL","I conduct research","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","I'm not involved in bid writing","Matlab
Plastimatch
Many others","PhD student","Male","Fixed term","Linux","survey",NA,NA,NA,1,0,0,0,"EPSRC - Engineering and Physical Sciences Research Council","Taught","Yes","Postgraduate student","Male","Linux"
"8/21/2014 14:08:36","UCL","I conduct research, I support researchers, I manage researchers or research projects","Biological, mathematical & physical sciences","NERC - Natural Environment Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","No","No, but we expected to develop software as part of the project","Python, Python ""scientific stack"", GDAL, Shell scripts, Fortran, C","Research Associate","Male","Fixed term","Linux","survey",NA,NA,NA,1,0,1,1,"NERC - Natural Environment Research Council","No","No",NA,"Male","Linux"
"8/21/2014 14:13:43","University of Cambridge","I conduct research","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","1-5 years","Yes","My work would require more effort, but it would still be possible","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","Igor Pro, Labview","PhD student","Male","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"EPSRC - Engineering and Physical Sciences Research Council","Self-Taught","No","Postgraduate student","Male","Mac OS X"
"8/21/2014 14:35:48","University of Cambridge","I conduct research","Biological, mathematical & physical sciences","BBSRC - Biotechnology and Biological Sciences Research Council","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","Yes","Genstat, RStudio, Minitab, MatLab, GIMP, Zotero, Endnote, SAP2011, FileZilla, GNUPlot, QtiPlot, SPSS, Spike2","University Lecturer in Zoology","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"BBSRC - Biotechnology and Biological Sciences Research Council","Taught","Yes","Lecturer","Male","Microsoft Windows"
"8/21/2014 15:15:36","UCL","I conduct research","Social studies","University central funds","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","No","I'm not involved in bid writing","Stata
R","Lecturer","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"University central funds","No","No","Lecturer","Male","Microsoft Windows"
"8/21/2014 16:21:28","UCL","I conduct research, I manage researchers or research projects","Biological, mathematical & physical sciences","Don't know","11-15 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","No, but we expected to develop software as part of the project","matlab, python, graphlab
","lecturer","Male","Permanent","Mac OS X","survey",NA,NA,NA,1,0,1,0,"Don't know","Taught","Yes","Lecturer","Male","Mac OS X"
"8/21/2014 17:42:15","University of Cambridge","I conduct research","Administrative & business studies","University central funds","6-10 years","Yes","It would not be practical to conduct my work without software","No","Yes - self taught using online resources or books","No","Bloomberg, Datastream, Factiva","University Lecturer","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"University central funds","Self-Taught","No","Lecturer","Male","Microsoft Windows"
"8/21/2014 17:58:22","University of Cambridge","I conduct research, I support researchers","Biological, mathematical & physical sciences","MRC - Medical Research Council","1-5 years","Yes","My work would require more effort, but it would still be possible","No","No","I'm not involved in bid writing","FlowJo, EnzymeX, Primer3, ApE, BLAST, ImageJ.","Research Assistant/part-time PhD student","Male","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,1,"MRC - Medical Research Council","No","No","Postgraduate student","Male","Mac OS X"
"8/22/2014 0:00:40","University of Cambridge","I conduct research","Biological, mathematical & physical sciences","ESRC - Economic and Social Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","No","No","No","MPlus
Superlab 
SPSS
Excel","Post Doctoral Research Associate","Male","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"ESRC - Economic and Social Research Council","No","No",NA,"Male","Mac OS X"
"8/22/2014 10:12:31","Cardiff University","I conduct research, I support researchers, I manage researchers or research projects","Medicine, dentistry & health","MRC - Medical Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","No","No","No","SPSS
NVivo","Research Associate","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,1,1,"MRC - Medical Research Council","No","No",NA,"Female","Microsoft Windows"
"8/22/2014 10:16:12","UCL","I conduct research, I manage researchers or research projects","Biological, mathematical & physical sciences","MRC - Medical Research Council","11-15 years","Yes","It would not be practical to conduct my work without software","No","No","Yes","GraphPad Prism, Adobe Illustrator, WinList, Rotorgene 6, Microsoft Excel, ApE, FACS Diva, Adobe Photoshop, Rest2009","Senior Research Associate","Female","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"MRC - Medical Research Council","No","No",NA,"Female","Microsoft Windows"
"8/22/2014 10:17:05","University of Edinburgh","I conduct research, I manage researchers or research projects","Humanities & language based studies & archaeology","ESRC - Economic and Social Research Council","1-5 years","Yes","It would not be practical to conduct my work without software","No","No","No","R, locally designed video coding software, CLAN, ELAN","research assistant","Female","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,1,0,"ESRC - Economic and Social Research Council","No","No",NA,"Female","Mac OS X"
"8/22/2014 10:17:57","University of Cambridge","I conduct research, I support researchers, I develop software for researchers","Medicine, dentistry & health","MRC - Medical Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","Yes","r, spss, xl, SPM, matlab","Clinical Lecturer","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,1,0,1,"MRC - Medical Research Council","Self-taugh+Taught","Yes","Lecturer","Female","Microsoft Windows"
"8/22/2014 10:18:00","Cardiff University","I conduct research, I manage researchers or research projects","Biological, mathematical & physical sciences","BBSRC - Biotechnology and Biological Sciences Research Council","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Matlab, IDL, LabView","Professor","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"BBSRC - Biotechnology and Biological Sciences Research Council","Self-Taught","No","Professor","Male","Microsoft Windows"
"8/22/2014 10:31:38","University of Cambridge","I conduct research","Biological, mathematical & physical sciences","Don't know","11-15 years","Yes","It would not be practical to conduct my work without software","No","No","I'm not involved in bid writing","Graphpad Prism, Genespring, Photoshop, Endnote, ","Research associate","Female","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"Don't know","No","No",NA,"Female","Mac OS X"
"8/22/2014 10:49:11","University of Cambridge","I conduct research, IT and medical physics","Medicine, dentistry & health","University central funds","11-15 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No","ImageJ, Osirix (including plugins), various PACS systems, custom code in MATLAB","Clinical Lecturer in Radiology","Male","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"University central funds","Self-Taught","No","Lecturer","Male","Mac OS X"
"8/22/2014 10:49:26","University of Cambridge","I conduct research","Engineering & technology","Don't know","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","I'm not involved in bid writing","Matlab, Python, Ocaml, shell scripts","PhD","Male","Fixed term","Linux","survey",NA,NA,NA,1,0,0,0,"Don't know","Self-taugh+Taught","Yes","Postgraduate student","Male","Linux"
"8/22/2014 10:58:52","Cardiff University","I conduct research","Humanities & language based studies & archaeology","ESRC - Economic and Social Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","No","No","No","Antconc, excel, r, Bristol online survey","Lecturer","Female","Permanent","Mac OS X","survey",NA,NA,NA,1,0,0,0,"ESRC - Economic and Social Research Council","No","No","Lecturer","Female","Mac OS X"
"8/22/2014 11:04:27","University of Cambridge","I conduct research","Engineering & technology","University central funds","1-5 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","No","Tecplot, Paraview, Ansys,
Write codes in Fortran and Matlab

","PhD candidate","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"University central funds","Self-Taught","No","Postgraduate student","Male","Microsoft Windows"
"8/22/2014 11:16:09","Newcastle University","I support researchers","Engineering & technology","EPSRC - Engineering and Physical Sciences Research Council","More than 20 years","Yes","It would not be practical to conduct my work without software","No","No","I'm not involved in bid writing","GNSS processing
Image Analysis
LIDAR
IR
Thermal","Technician","Male","Permanent","Don't have a preference","survey",NA,NA,NA,0,0,0,1,"EPSRC - Engineering and Physical Sciences Research Council","No","No","Technician","Male",NA
"8/22/2014 12:15:47","University of Cambridge","I conduct research, I manage researchers or research projects","Biological, mathematical & physical sciences","Wellcome Trust","11-15 years","Yes","It would not be practical to conduct my work without software","No","Yes - self taught using online resources or books, No","No","CCP4, Phenix, Diamond Light Source control software, COOT, PyMol, Prism","Principal Investigator","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"Wellcome Trust","Self-Taught","No","Principal Investigator","Female","Microsoft Windows"
"8/22/2014 12:24:39","Cardiff University","I conduct research","Biological, mathematical & physical sciences","Wellcome Trust","Less than a year","Yes","It would not be practical to conduct my work without software","No","Yes - self taught using online resources or books","I'm not involved in bid writing","BEAST, BAPS, RAxML, FastTree, BLAST, Artemis, Dendroscope, Path-O-Gen, R, Velvet, SMALT, SAMtools, MUSCLE","Research Assistant","Female","Fixed term","Don't have a preference","survey",NA,NA,NA,1,0,0,0,"Wellcome Trust","Self-Taught","No",NA,"Female",NA
"8/22/2014 12:39:57","Newcastle University","I conduct research, I manage researchers or research projects","Medicine, dentistry & health","ESRC - Economic and Social Research Council","11-15 years","Yes","It would make no significant difference to my work","No","No","No","NVivo, Cmap","Lecturer","Male","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,1,0,"ESRC - Economic and Social Research Council","No","No","Lecturer","Male","Mac OS X"
"8/22/2014 13:01:29","University of Edinburgh","I support researchers","Education","ESRC - Economic and Social Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","No","No","NVivo, SPSS, SNAP","Research Administrator","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,0,0,0,1,"ESRC - Economic and Social Research Council","No","No",NA,"Female","Microsoft Windows"
"8/22/2014 13:02:57","University of Edinburgh","I conduct research","Biological, mathematical & physical sciences","Cancer Research UK","6-10 years","Yes","My work would require more effort, but it would still be possible","No","No","Yes","matlab, omero, imageJ, prism","group leader","Female","Fixed term","Mac OS X","survey",NA,NA,NA,1,0,0,0,"Other charity or fundation","No","No",NA,"Female","Mac OS X"
"8/22/2014 13:22:19","University of Cambridge","I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course, Yes - self taught using online resources or books","Yes","ONETEP, CASTEP","Research Fellow","Male","Permanent","Linux","survey",NA,NA,NA,1,1,1,1,"EPSRC - Engineering and Physical Sciences Research Council","Self-taugh+Taught","Yes",NA,"Male","Linux"
"8/22/2014 13:30:56","Newcastle University","I conduct research, I support researchers, I develop software for researchers","Medicine, dentistry & health","MRC - Medical Research Council","6-10 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - self taught using online resources or books","I'm not involved in bid writing","Matlab, SPSS, Excel","Research Associate","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,1,0,1,"MRC - Medical Research Council","Self-Taught","No",NA,"Male","Microsoft Windows"
"8/22/2014 13:32:56","University of Edinburgh","I conduct research, I support researchers, I manage researchers or research projects","Medicine, dentistry & health","University central funds","15-20 years","Yes","It would not be practical to conduct my work without software","No","No","No","SAS, Excel, NQuery, Minitab","Reader in Medical Statistics","Female","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,1,1,"University central funds","No","No","Reader","Female","Microsoft Windows"
"8/22/2014 13:36:32","cancer research","I conduct research","Biological, mathematical & physical sciences","Don't know","15-20 years","Yes","My work would require more effort, but it would still be possible","No","No","I'm not involved in bid writing","powpoit,excel,imageJ","research associate","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"Don't know","No","No",NA,"Female","Microsoft Windows"
"8/22/2014 13:44:48","University of Edinburgh","I conduct research","Education","Don't know","15-20 years","Yes","My work would require more effort, but it would still be possible","No","No","No","NVivo, ","Emeritus Professor retired","Male","Prefer not to say","Mac OS X","survey",NA,NA,NA,1,0,0,0,"Don't know","No","No","Professor","Male","Mac OS X"
"8/22/2014 13:46:46","UCL","I conduct research, I manage researchers or research projects","Medicine, dentistry & health","Wellcome Trust","6-10 years","Yes","It would not be practical to conduct my work without software","No","No","No","SPSS; MatLab; Eprime","Postdoc","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,1,0,"Wellcome Trust","No","No",NA,"Female","Microsoft Windows"
"8/22/2014 14:06:04","Cardiff University","I conduct research","Social studies","Nuffield Foundation","6-10 years","Yes","My work would require more effort, but it would still be possible","No","Yes - a taught course","No","Endnote; NVivo; SPSS; R (statistics).","Research Associate","Female","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"Other charity or fundation","Taught","Yes",NA,"Female","Microsoft Windows"
"8/22/2014 14:38:02","Cardiff University","I conduct research, I support researchers, I manage researchers or research projects","Biological, mathematical & physical sciences","charities","More than 20 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","No","Origin, Matlab, SigmaPlot, PyMol, Discovery Studio Visualizer","Lecturer","Male","Permanent","Microsoft Windows","survey",NA,NA,NA,1,0,1,1,"Other charity or fundation","Taught","Yes","Lecturer","Male","Microsoft Windows"
"8/22/2014 14:48:15","Newcastle University","I conduct research","Biological, mathematical & physical sciences","STFC - Science and Technology Facilities Council","11-15 years","Yes","My work would require more effort, but it would still be possible","Yes","Yes - self taught using online resources or books","No","Python, Fortran, Sage, IDL","Senior Lecturer","Male","Permanent","Mac OS X","survey",NA,NA,NA,1,0,0,0,"STFC - Science and Technology Facilities Council","Self-Taught","No","Lecturer","Male","Mac OS X"
"8/22/2014 15:03:40","Univeristy of Ulster","I conduct research, I manage researchers or research projects","Biological, mathematical & physical sciences","DEL","11-15 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","No","Java, Matlab","Lecturer","Male","Permanent","Mac OS X","survey",NA,NA,NA,1,0,1,0,"DEL","Taught","Yes","Lecturer","Male","Mac OS X"
"8/22/2014 15:17:26","UCL","I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers","Social studies","ESRC - Economic and Social Research Council","11-15 years","Yes","It would not be practical to conduct my work without software","Yes","No","Yes","matlab, stata, R, fortran, excel ","reader","Male","Permanent","Linux","survey",NA,NA,NA,1,1,1,1,"ESRC - Economic and Social Research Council","No","No","Reader","Male","Linux"
"8/22/2014 15:20:32","UCL","I conduct research, I manage researchers or research projects","Medicine, dentistry & health","MRC - Medical Research Council","11-15 years","Yes","It would not be practical to conduct my work without software","No","Yes - a taught course","No, but we expected to develop software as part of the project","NONMEM
Berkley Madonna
WinBUGS
PoPED
","Chair Clinical Pharmacology & Therapeutics","Male","Permanent","Linux","survey",NA,NA,NA,1,0,1,0,"MRC - Medical Research Council","Taught","Yes",NA,"Male","Linux"
"8/22/2014 15:21:10","UCL","I manage researchers or research projects","Biological, mathematical & physical sciences","EPSRC - Engineering and Physical Sciences Research Council","15-20 years","Yes","It would not be practical to conduct my work without software","Yes","Yes - a taught course","Yes","Excel, XLSTAT, Grams, Unscrambler, R, Origin, SPSS","Professor","Male","Permanent","Don't have a preference","survey",NA,NA,NA,0,0,1,0,"EPSRC - Engineering and Physical Sciences Research Council","Taught","Yes","Professor","Male",NA
"8/22/2014 15:26:00","Cardiff University","I conduct research","Social studies","Private foundations","6-10 years","Yes","My work would require more effort, but it would still be possible","No","No","I'm not involved in bid writing","SPSS, NVivo","research associate","Male","Fixed term","Microsoft Windows","survey",NA,NA,NA,1,0,0,0,"Other charity or fundation","No","No",NA,"Male","Microsoft Windows"
